vrm,model,make
DU67 YLA,Zafira,Vauxhall
SK22 VFY,5 Excite,MG
DL14 CYO,Vivaro,Vauxhall
SK22 VGE,,MG MG 5
,,Excite EV
BT20VYP,Tourneo Custom,Ford
YE65 XTY,Tourneo Cust 300 SET,Ford
,TDCI,
SF66 ENL,Vito,Peugeot
SL70 WXV,Tipo Lounge,Fiat
GF18 WAA,Superb SE TSI S-A,Skoda
YX55 FKT,Master LM35 DC1 100,Renault
,LW B,
SG62 URV,Ducato 35 Multijet,Fiat
SF11 AWP,7,Peugeot
SK22 VFV,,"MG MG 5
Excite EV"
SJ65 AUU,,Peugeot
,,Partner
GM17 ZBT,Octavia,Skoda
JC07 BAT,Mondeo,Ford
LR18 KSF,Vivaro,Vauxhall
HX18 AUV,Boxer Minibus,Peugeot
YJ66 KKS,Master SL28,Renault
T555 GPH,Superb S TDI S-A,Skoda
SK22 VGC,Electric Estate Excite,MG5
SK22 VFX,MG5 Excite,MG
YM66 XAC,Tourneo,Ford
WP63 SZX,199LXY1AL0D,Fiat
MJ22 GOA,Evito Tourer Pro,"Mercedes-
Benz"
SK21 KFJ,NX,Skoda
OE19 YOK,308 SW,Peugeot
NG65 DYC,Partner Tepee S HDI,Peugeot
MA12 LVV,508 Active HDI,Peugeot
SG70 XYL,Duster Essential TCE 4X2,Dacia
SO23 OCE,Vivaro E,Vauxhall
KY21 ULB,Euro 6,Seat
SL71 XFP,Electric Estate Excite,MG5
SF14 AUP,Horizon,Peugeot
SF66 OUM,Freedom RS,Ford
SE13 WGO,Boxer 333 L1H1 HDI,Peugeot
SF64 EXT,Premier S,Peugeot
RO18 ERJ,Tourneo Custom,Ford
SF19 KZA,Pro Cab,Ford
SF67 AZA,Horizon RS Blue HDI S/S,Peugeot
YT71 ZJN,CFAC,Ford
SA71XHT,Tourneo Custom 320 TI,Ford
,EBLUE,
SF16 EZW,Euro Taxi,Peugeot
SD63 FEX,Horizon S AC,Peugeot
,,Horizon
LM51 CAB,"Tourneo Custom 310 T-
NIUM TDCi",Ford
SH63 AVK,NV200,Nissan
SF11 KHM,Partner,Peugeot
SC66 MWA,Trafic,Renault
JP55 JGP,Vivario,Vauxhall
DV16 RCO,VX8,Vauxhall
SF18 PXT,Alllied Pro-Cab,Ford
SF14 BHY,Premier,Peugeot
SF64 HFA,7TP,Peugeot
YY18 ZHK,Caddy Maxi,Volkswagen
SF68KTE,Allied Procab,Ford
LK16 MGJ,Vivaro Combi CDTI S/S,Vauxhall
SF17 BTE,Tourneo Connect,Ford
SF20 AWG,,Ford Pro Cab
AC52 CAB,Maxi Cab,Ford
SF68 LGK,Benz,Mercedes
DU19 KKB,Vivaro Combi CDTi S/S,Vauxhall
GK16 XVP,Transporter,Volkswagen
SF66 FXC,G9,Peugeot
MK16 KLJ,Vivaro,Vauxhall
SD63 DMY,Premier,Peugeot
SF68 DYG,Premier RX 1.6,Peugeot
SF64 HEU,7TP,Peugeot
AC53 CAB,HRE,LEVC
SF18 AVE,Tourneo Custom,Ford
PO19 XWX,Trafic,Renault
SF20 AFK,Procab,Ford
SN15 YRD,Trafic,Renault
YN69 AYA,Maxi Cab,Ford
YJ69 BBO,Maxi Cab,Ford
NK18CBO,Caddy Maxi C20 Life TDI,Volkswagen
SF65 NZE,Tourneo,Ford
SF60 CBU,Scudo Combi 120 SWB,Fiat
SF65 GNJ,Partner,Peugeot
SF61 CTE,TW200,Fiat
SF67 HPV,Freedom,Ford
RC51 TAX,Benz,Mercedes
SF67 DNN,,Peugeot
YJ65 XYU,Tourneo Cust 300,Ford
SF65 NVO,Tourneo Connect,Ford
YH 21 CZX,Trafic Business Energy,Renault
SF68 DDJ,Horizon RS Blue,Peugeot
SJ19 RHN,"Caddy maxi C20 LIFE
TDI S-A",Volkswagon
K20 CDW,Partner Tepee,Peugeot
YT18 GFY,"Custom 310 T-NIUM
TDCi",Ford Tourneo
YJ65 XXW,Torneo Cust 300,Ford
LO16 HKH,Vivaro LZ Diesel,Vauxhall
SF12 GJY,,Peugeot
,,Premier S 7
SF64 SXW,Tourneo,Ford
SF13 FUT,Horizon S AC,Peugeot
YJ69 BBN,Maxi Cab,Ford
SN19 KYK,Vito 114 Bluetec Tourer,Mercedes
SF18 BWV,,Ford Tourneo
DY64 AZG,Vivaro,Vauxhall
AC57 AXE,Transit,Ford
PN68 NVZ,Traffic,Renault
KR22 BGX,Vito,Mercedes
SF18 AVG,Tourneo Custom,Ford
SF13 FZB,Premier,Peugeot
LO16 HPE,Vivaro,Vauxhall
BN67 YHM,Tourneo,Ford
DS12 SX0,Vivaro,Vauxhall
GN67DJJ,Caddy Maxi,Volkswagen
SF12 ONB,Horizon,Peugeot
AC51 CAB,TX Vista,LEVC
SF70 EKB,Euro,Ford
MK17 VYD,Transit,Ford
SF64 FXG,Euro Taxi LX,Peugeot
MP10 ZZZ,Vivaro,Vauxhall
SF11 ONK,Partner Tepee S HDI 92,Peugeot
AD68 DFA,Euro,Volkswagen
MX71 XHV,Tourneo Custom 320 TI,Ford
SH73 TPF,TX Vista Comfort Plus,LEVC
T17 ALL,Allied,Ford
HV67 BZE,Trafic,Renault
LJ13 ARU,Doblo Dynamic M-Jet,Fiat
SF15 GFJ,Expert,Peugeot
GR19 GWR,Trafic,Renault
SF17 BNO,Freedom,Ford
SF66 DRX,Ford Tourneo,Ford
SF14 BUJ,Horizon S,Peugeot
WD67 NOU,Tourneo Connect GRD,Ford
,Zetec TDCI,
SD63 FTN,Premier,Peugeot
FJ68 TWG,,Mercedes-
,,Benz
SD17 OUF,Premier RS Blue HDI S/S,Peugeot
SK62 UPV,Trafic,Renault
MF68 UYR,Tourneo,Ford
LM68 LXF,Vivaro,Vauxhall
Ford Pro Cab,,7
